HJD MAX+2400000;E;O-C;ADS;AAVSO;BAV;CDB;GEOS;KWS;ASASSN;type;source;observer;reference
48279.2900;698;0.28;;;0.28;;;;;vis;BAV;Sturm A.;BAV database
48350.1200;707;-0.11;;;-0.11;;;;;vis;BAV;Dahm M.;BAV database
48603.4200;739;-0.05;;;-0.05;;;;;vis;BAV;Dahm M.;BAV database
48666.7000;747;-0.08;-0.08;;-0.08;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
48666.7000;747;-0.08;;-0.08;;;;;;un.;AAVSO;un.;Berdnikov 2003
48682.4200;749;-0.19;;;-0.19;;;;;vis;BAV;Sturm A.;BAV database
48698.1600;751;-0.28;;;-0.28;;;;;vis;BAV;Goldhahn H.;BAV database
48824.9000;767;-0.16;;;;;-0.16;;;vis;GEOS;Checcuchi;GEOS NC 851
49015.3800;791;0.39;;;0.39;;;;;vis;BAV;Sturm A.;BAV database
49038.5700;794;-0.16;;;-0.16;;;;;vis;BAV;Goldhahn H.;BAV database
49046.3300;795;-0.32;;;-0.32;;;;;vis;BAV;Dahm M.;BAV database
49078.5500;799;0.25;;;0.25;;;;;vis;BAV;Schubert H.;BAV database
49085.9200;800;-0.29;-0.29;;-0.29;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
49331.4500;831;-0.09;;;-0.09;;;;;vis;BAV;Dahm M.;BAV database
49442.3800;845;0.05;;;0.05;;;;;vis;BAV;Sturm A.;BAV database
49742.3800;883;-0.68;;;-0.68;;;;;vis;BAV;Sturm A.;BAV database
49758.5700;885;-0.32;;;-0.32;;;;;vis;BAV;Goldhahn H.;BAV database
50043.5480;921;-0.23;;;;-0.23;;;;V;CDB;;CDB
50170.1060;937;-0.30;-0.30;;-0.30;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
50391.5200;965;-0.47;;;;-0.47;;;;V;CDB;;CDB
50391.5250;965;-0.46;;;;-0.46;;;;V;CDB;;CDB
50502.3300;979;-0.45;;;-0.45;;;;;vis;BAV;Sturm A.;BAV database
50826.8700;1020;-0.38;-0.38;;-0.38;;;;;un.;BAV/Lit.;un.;BAV Meyer 2023
